Column1,Column2,Column3,Gotas cortadas,Peso médio,Velocidade média,Tras-PV,Fritas-PV,Agit-PV,Meio-PV,Frente-PV,Comprimento médio (mm),Diâmetro,Temperatura
B1,193164,45309,20.4293,148.145480225989,96.0,2349.9909999999995,2300.0158000000033,2244.992795138887,2210.0022472222236,2174.6377555555523,96.57667279119227,36.21753,1015.01611
B1,193164,45310,20.4644,147.785269121813,96.0,2349.9919499999987,2300.009599999999,2244.9997465277766,2209.9886298611073,2169.9814756944425,97.47017578124999,36.37499,971.37907
B1,193164,45311,20.3529,147.524919093851,96.0,2349.995475000004,2300.010525000006,2244.995475694446,2210.006938194445,2169.9987097222224,108.55150679976852,34.155240000000006,720.4622199999999
B1,193164,45312,20.4216,148.183055555555,96.0,2350.0036750000013,2300.010125000001,2245.0001576388795,2209.9868458333344,2166.887110416659,107.65969097669304,33.999005,703.7532000000001
B1,193164,45313,20.4466,148.884782608696,96.0,2349.9987250000017,2298.74,2244.996405555554,2112.739174999996,2164.5642062499987,104.94809317129629,34.54573,727.195505
B1,193206,45316,22.4059,172.520192307692,90.0,2264.350725000001,2318.6031500000017,2262.606659722236,2256.3064798611053,2190.002877777776,82.17786409411474,32.333205,1313.7776
B1,193206,45317,21.2259,171.167919075145,90.0,2317.667199999995,2320.0021000000042,2279.9649076388937,2256.8955479166657,2190.0048520833343,91.86051729991667,38.633295000000004,1229.95265
B1,193206,45318,22.0823,170.541741741742,90.0,2340.926699999997,2319.9970750000043,2280.0085368055516,2258.7416791666706,2178.9682041666656,91.15694234389952,39.00986,1219.7803
B1,193207,45319,8.8231,169.589795918367,60.0,2339.9937250000007,2323.488649999992,2286.3509756944427,2262.209563194442,2160.000322916666,96.33514937388193,37.634434999999996,1241.7579500000002
B1,193206,45319,8.5983,170.425943396226,87.3793103448276,2339.992074999999,2329.952875000001,2299.6514062499964,2262.209563194442,2159.9935423611028,96.33514937388193,37.634434999999996,1241.7579500000002
B1,193207,45320,14.7408,170.643421052632,60.0,2343.5097250000013,2330.0398500000033,2299.8757618055515,2252.9304520833357,2160.1133638888887,99.76298669638504,37.133039999999994,1253.64455
B1,193207,45321,14.685,170.055801104972,60.0,2349.9888250000026,2329.960849999998,2299.993849999994,2245.1150833333327,2160.1133638888887,94.80103932779333,35.046795,1265.9439
B1,193207,45322,14.8511,171.664414414414,60.9230769230769,2349.9902249999996,2329.960849999998,2299.993849999994,2245.1150833333327,2160.1133638888887,102.86392250657738,36.588465,1212.4146500000002
B1,193207,45323,14.7826,171.461878453039,59.5263157894737,2349.991216122308,2329.8993884642105,2300.0028756080656,2244.1101021542736,2159.4377442668556,101.47361603111759,36.789895,1220.69345
B1,193207,45324,14.1687,171.037914691943,60.0,2349.9894999999983,2329.8930000000023,2300.0006756944454,2244.1698715277803,2160.031689583338,99.47803703703704,37.14099,1227.39385
